dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
-2524,0,0,-909,0,-690,442,0,1637,0,480,0,0,971,0,628,-9,0,-1327,0,9617,Gunt
0,-1236,21,-347,55,0,186,0,2297,0,0,0,0,1080,0,519,0,0,-704,0,6424.634866,Gunt
0,-909,0,-690,37,0,2196,0,326,0,0,1469,-16,130,-159,0,-2384,0,0,-15,8315.980915,Gunt
8,0,1287,0,1264,0,0,0,-26,920,-27,679,-81,0,-2425,0,0,-8,0,-1311,7983.903925,Gunt
1784,0,731,0,0,0,-5,1599,-54,0,-2426,0,-74,0,0,-745,0,-854,795,0,9062.007817,Gunt
0,730,0,869,0,0,-1804,0,-755,0,0,-38,64,-1079,64,-482,15,0,289,0,6067.126785,Gunt
40,815,0,784,-4,0,-1541,0,-1014,0,0,0,0,-738,14,-861,18,0,392,0,6168.094818,Gunt
0,73,0,1414,-8,112,-259,0,-2179,0,-113,0,0,-1064,51,-535,28,0,2480,0,8259.710694,Gunt
-22,1522,-555,0,-1982,-107,0,-149,43,-1343,59,0,547,0,1898,0,12,0,0,712,8782.733344,Gunt
-140,0,-2419,0,0,-1,0,-126,0,-1472,0,0,264,0,2295,0,0,0,0,200,6917,Gunt
-98,0,-2176,0,-228,0,0,-11,0,-889,0,-699,0,0,431,0,1434,0,694,0,6660,Gunt
0,0,0,0,-525,234,-461,-3,-28,-447,-240,865,-372,-102,20,91,-27,3,1,-90,2977.425277,Wingus
916,-410,46,-6,24,29,50,-22,3,2,-1275,559,-67,-49,184,-167,13,105,-577,-73,3556.8873,Wingus
33,86,-7,24,149,313,721,-177,-923,14,0,-157,29,-17,541,195,-276,-386,408,207,3827.00012,Wingus
-40,-35,-11,-25,146,22,175,11,42,-2,440,-158,250,377,-5,-16,289,-521,-115,80,2118.011771,Wingus
-1024,-117,-39,-22,-12,-61,16,-59,3,-8,65,31,1118,683,-355,-163,-145,-15,-2,-20,3145.923486,Wingus
-220,223,45,-52,63,-45,-3,11,-2,8,307,-362,83,36,412,-346,91,-91,32,12,1745.097811,Wingus
93,571,-205,129,-298,161,-388,-174,-59,-73,3,16,458,207,34,113,-23,24,151,-6,2499.786341,Wingus
-37,-367,-93,-589,23,8,454,228,-49,-234,-63,16,-29,-6,682,580,857,-592,-89,197,3984.275351,Wingus
353,-56,-2,-5,0,0,17,35,0,2,-544,733,184,-391,103,-209,29,-28,-1,-3,2025.127713,Wingus
-53,-116,6,4,-422,-29,906,-227,131,-256,169,126,-369,226,-211,-115,80,30,2,3,2752.175688,Wingus
17,-28,4,4,-50,159,-850,284,-42,47,56,-132,-188,-51,-614,-183,-113,30,99,-166,2453.378789,Wingus
-17,-7,-299,332,-482,57,-52,38,-127,47,-43,-80,-345,-227,17,84,6,14,-10,206,1961.343326,Wingus
1404,-154,322,278,44,-28,-979,-207,4,6,32,48,49,98,-160,167,41,-65,1532,35,4905.616767,Wingus
109,-27,-156,76,-171,105,6,-28,-477,74,-44,-142,7,9,25,15,6,105,-2,8,1300.462508,Wingus
-11,-10,-6,-43,0,6,-115,-119,-195,-127,-375,-54,-4,15,59,-29,49,-37,1,15,999.0477025,Wingus
18,-383,-706,-832,-133,680,-11,-39,-51,936,401,-2,-611,-437,706,-398,1296,-195,-1703,-14,8121.690581,Zack
2274,-919,126,-83,-51,160,-1229,404,-681,92,516,33,1177,509,4,-152,-91,5,0,-18,6812.966633,Zack
421,-300,91,-182,0,8,577,352,-382,319,-1366,-382,-206,72,-19,11,-14,8,7,-80,3657.021911,Zack
329,-32,-83,-20,672,425,200,-242,-1,10,-88,-7,-806,-194,14,64,10,31,681,78,3235.878264,Zack
22,188,-137,70,216,394,581,-14,-68,-11,-29,0,-13,-2,1,-22,-270,-725,678,-48,2960.02336,Zack
119,-769,261,-21,-1490,345,-627,-39,2098,-306,3,0,52,0,-1138,1508,-1261,-625,307,-815,9540.328293,Zack
54,28,0,-10,9,60,-5,12,1,609,802,-107,112,-787,150,1090,730,107,-1461,-368,5702.242012,Zack
2,59,29,89,31,35,8,-31,1476,-691,-167,-2,60,91,155,570,-529,-42,1175,-993,4796.926345,Zack
-382,618,-538,-11,-854,-384,-141,238,163,675,388,282,669,-104,-666,-707,482,411,-1089,-2,7022.459127,Zack
-1261,534,-249,-786,1150,535,184,-69,244,159,-31,144,-108,-69,-1033,-501,-206,565,209,-634,6642.489606,Zack
510,164,458,39,118,-6,-68,165,-782,-31,-600,-179,1992,-1064,-64,-14,-1,0,-554,332,5671.469369,Zack
159,7,12,3,1,1,-87,16,96,-23,-96,144,-337,838,-72,220,48,56,-55,7,1797.085674,Zack
-80,-832,-885,84,134,-733,-259,5,83,262,842,767,-57,165,-1006,-329,-5,234,770,-285,6430.91752,Zack
755,-718,-150,713,-1190,-79,-201,-562,-405,446,-9,-572,0,-622,328,0,1711,0,520,0,7915.503069,Zack
-1016,-926,-841,166,0,0,53,-304,358,129,283,-253,-1005,195,35,315,363,-42,283,-104,5308.22985,Zack
-166,-246,-878,166,-186,-107,127,-349,1119,40,392,376,-1289,-54,-77,-494,717,326,473,-271,6562.045935,Zack
92,562,-40,232,557,-442,326,-92,179,371,435,-44,-43,-501,-255,-110,-289,272,-839,353,4791.506525,Zack
-27,-326,40,-172,186,-37,618,372,626,-173,593,486,-294,-531,-373,19,-286,354,-726,116,5001.595139,Zack
-164,569,145,-439,161,-234,145,-79,3,-11,-529,-73,1,169,2431,406,-342,-569,-1569,649,7044.53841,Zack
559,568,-374,-503,-405,733,205,-537,490,435,480,193,33,-596,-401,295,-93,115,560,-1,5811.194828,Zack
-70,-159,-1419,-996,-261,16,583,-16,1959,0,0,0,0,170,0,1429,-199,0,-2360,0,8869.096273,Gunt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
18,-19,790,-119,541,48,1408,91,-44,68,-121,185,-65,-39,-274,-158,-32,-9,-93,-22,3602.099769,Harrison
97,-47,-68,22,142,-49,293,181,-421,30,-108,-21,131,-44,323,-124,45,-108,-4,-12,1819.787001,Harrison
60,107,96,-73,102,41,0,0,95,-188,0,0,-163,-17,-328,0,-228,6,85,96,1412.033821,Harrison
-160,-344,0,0,547,386,426,19,-527,-334,558,137,161,36,0,0,-1080,-122,220,17,4146.293211,Harrison
-25,201,-577,-397,422,255,108,27,489,55,-573,-76,373,39,97,5,-1439,64,-435,15,4925.262296,Harrison
-1375,-132,-100,28,903,76,308,42,-643,3,-460,-325,18,-93,48,68,2,287,-26,50,4429.768354,Harrison
56,-146,11,31,-6,48,-167,-63,30,37,103,202,16,15,15,-14,0,-1,44,-169,908.589033,Harrison
-35,251,9,201,-93,55,34,-99,73,-175,28,-200,-80,-36,2,6,6,5,1037,62,2199.631172,Harrison
195,170,0,14,-980,49,-86,11,-277,-12,-38,-5,0,0,234,-46,1079,-138,0,0,2982.47843,Harrison
-1251,91,-73,-2,0,0,15,-86,169,-253,3,-6,-302,500,0,0,44,-10,844,3,3198.846592,Harrison
-46,1,-128,8,-63,-9,-103,-206,-6,-9,-528,177,-299,25,-108,31,-24,-276,0,0,1725.355663,Harrison
-58,141,68,98,1131,48,487,-39,59,-28,-29,17,11,-8,3,-144,1,-48,22,108,2307.105045,Harrison
-18,-74,14,137,-6,-24,-10,-57,-3,-67,10,-48,9,-31,73,-96,861,193,89,128,1603.727539,Harrison
227,-64,-42,210,-150,13,-597,-141,564,22,2,2,-97,35,-96,25,161,-6,197,-12,2342.05279,Harrison
-362,-49,0,-2,507,82,-104,-123,-13,-19,-1,1,7,89,-12,29,-13,13,-147,-11,1352.855394,Harrison
-238,-108,-103,15,310,286,338,97,528,-356,1,-28,0,0,-897,-104,55,108,24,43,2877.138679,Harrison
-30,-9,676,-202,-66,-69,-320,-168,-506,188,188,214,243,182,0,0,0,-24,-60,-162,2518.759907,Harrison
-257,-8,-2058,8,0,0,269,0,118,-56,806,-510,-47,-191,0,0,0,0,827,10,4692.31298,Harrison
-16,-43,-229,232,364,38,301,104,244,-71,0,0,0,0,0,0,0,0,156,-309,1656.567881,Harrison
50,-509,-134,-13,69,-13,65,685,-61,-450,-136,-54,-4,-3,373,520,156,79,261,-192,3148.635252,Harrison
-1158,69,1018,-70,451,-136,246,26,-218,175,-34,23,-140,-9,-156,-22,-157,63,-272,55,3963.993652,Harrison
-63,-124,8,-28,0,0,640,-32,-3,-4,-134,-10,-508,-12,-32,-14,-8,-157,-30,-91,1744.470296,Harrison
63,24,49,13,0,-9,-10,-56,3,-3,26,39,493,164,241,44,-755,-201,5,-42,1823.25264,Harrison
0,0,-65,-40,-50,2,-1,0,60,203,548,180,372,-31,-171,-92,-750,-179,10,0,2264.380063,Harrison
745,154,1,13,0,0,-787,-113,-421,227,-27,76,-78,-115,71,-171,0,-2,0,0,2453.923226,Harrison
79,18,-2,7,-597,233,297,-39,340,-34,-21,-12,-665,-61,-101,40,-358,145,-37,-209,2769.518306,Harrison
-3,-2,-9,5,3,2,29,39,14,42,-7,-6,-6,6,0,-3,771,-12,116,-3,1018.216023,Harrison
-912,143,65,-85,-37,-150,13,-8,0,-1,0,-6,358,78,806,148,3,0,0,0,2395.782098,Harrison
-280,-109,-148,41,-665,-18,-63,42,21,28,203,72,98,2,-251,-70,-31,2,-8,-9,1847.097192,Harrison
953,-9,0,0,-253,-25,-51,-4,0,0,2,171,-206,75,-19,-4,715,-333,-7,-11,2469.868112,Harrison
-23,-25,-424,4,-60,59,-407,81,-92,-306,-51,-124,46,-23,0,0,53,144,511,228,2175.160515,Harrison
-596,15,0,0,0,0,0,0,0,0,0,-31,4,-41,0,-1,0,0,1,0,670.3833884,Harrison
-108,35,1,-11,-1,-46,4,-4,0,0,27,99,-15,-18,-12,-63,0,-33,0,3,402.4220276,Harrison
9,137,22,199,-28,-90,-1,-45,0,-3,0,0,0,0,70,-171,386,-55,0,0,1054.445311,Harrison
-391,65,0,0,-4,-15,3,-46,-115,34,51,-6,20,11,0,0,-58,-34,-44,-1,763.3281568,Harrison
107,115,0,-12,0,-1,808,-27,-153,78,-335,313,-43,-41,-219,-479,-53,-66,0,0,2279.484827,Harrison
-24,169,13,-38,0,0,201,67,312,-36,-539,-130,2,-119,20,-6,5,6,261,403,1919.099121,Harrison
0,0,-13,0,-306,-43,-26,-28,-17,5,-8,20,0,0,0,0,0,-50,10,0,459.4771231,Harrison
838,-39,3,-1,-21,-14,-710,-19,0,0,19,0,360,-5,0,0,0,0,-4,-1,1960.72017,Harrison
-448,23,-91,-77,-104,-89,-25,174,3,-98,-21,-75,-27,-75,-8,23,-4,14,106,38,1287.625419,Harrison
1,10,5,4,1021,247,9,7,-464,79,-658,-98,-74,-114,-16,-5,0,-2,162,56,2540.322796,Harrison
-325,11,0,-3,0,0,-1,6,175,98,569,42,-499,76,-229,21,-12,23,0,-3,1869.046034,Harrison
883,-96,140,-7,7,-7,-41,-25,-656,-266,-373,-188,-134,-108,109,-15,486,-84,55,-12,3043.50823,Harrison
-234,483,-10,5,-95,-57,-1,0,106,183,115,218,78,-79,70,-35,-223,-735,-160,0,2234.987674,Harrison
154,601,431,49,268,12,10,-21,-20,-427,-4,81,304,115,-386,-37,-463,153,9,3,3064.193562,Harrison
68,-22,-123,113,-1,11,-11,-327,0,-1,44,26,1,-61,233,-85,261,-81,328,-2,1539.149801,Harrison
-536,358,-97,48,-95,4,-86,2,-14,7,-176,-74,677,-458,-237,187,-111,433,-654,-166,3381.472308,Harrison
503,5,-6,55,8,127,-61,168,-22,-89,-328,-99,-1,510,-105,-23,-113,5,-121,-505,2548.523079,Harrison
-1486,425,299,24,25,26,5,-3,267,-272,299,-105,513,-144,-1159,530,67,-50,3,32,4508.492203,Harrison
10,0,0,0,1431,-537,293,-126,-372,-2,-122,2,-15,4,-1230,253,178,-170,121,-95,4022.656016,Harrison
16,0,919,290,508,-173,218,-110,124,-155,145,-21,805,-309,-58,-16,-629,688,-26,-3,3986.31082,Harrison
528,-550,53,-9,0,0,-4,0,-1331,109,-1555,577,-93,285,-1,-5,0,0,158,-116,4315.133441,Harrison
0,0,1376,-644,44,-141,0,-12,-43,703,4,17,2,0,-24,-57,-33,-12,-2,-21,2520.786778,Harrison
-52,-47,0,0,0,0,0,0,946,57,395,-47,78,-24,10,5,409,35,-440,145,2382.155207,Harrison
292,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,13,378.3663031,Harrison
4,28,2,20,0,0,26,47,3,0,0,0,0,0,0,0,0,0,-120,-12,225.694726,Harrison
-22,42,-29,25,0,0,0,0,9,-59,-21,-192,-7,-84,-2,256,-4,21,397,-200,1144.737846,Harrison
174,-23,0,0,-217,80,-649,287,-25,-31,0,-1,131,-18,415,-83,-375,222,-203,138,2393.941542,Harrison
144,-128,2,0,0,0,-133,-3,-222,42,-249,5,-48,11,-10,27,0,0,-2,37,917.7782476,Harrison
-67,33,-69,-137,138,102,573,-23,96,0,-37,-17,-115,-188,-6,-35,-3,20,-43,30,1438.41406,Harrison
-253,23,16,-9,2,-1,0,-2,0,0,0,0,0,0,-62,37,-7,6,0,0,358.0575836,Harrison
-2,0,0,6,0,0,-1,25,26,-246,141,-159,-8,4,-5,3,0,0,0,0,507.6789128,Harrison
68,120,-6,17,-709,-59,-376,-167,-12,-26,613,208,169,207,36,44,2,2,-7,-52,2334.162051,Harrison
0,0,0,0,0,0,0,0,0,0,0,-2,-1234,-89,0,0,665,17,15,61,1967.239771,Harrison
23,4,0,0,0,0,-89,115,0,0,0,0,4,-18,26,-25,36,-17,3,-2,266.6879541,Harrison
-39,336,-40,1,94,-49,261,-265,-412,228,47,77,19,9,0,0,232,-214,293,-195,2105.920389,Harrison
144,-66,0,-1,154,-21,37,-131,-173,24,0,0,0,0,0,0,0,0,0,0,625.6115175,Harrison
-257,-26,-492,-250,-32,-76,0,0,0,0,0,0,0,0,0,0,186,112,34,102,1217.282034,Harrison
1048,-251,-38,-75,-301,28,-662,62,-203,10,-13,0,0,0,0,0,0,0,0,0,2345.158629,Harrison
3,7,102,98,155,93,90,48,151,61,78,41,109,34,-2,0,-241,-35,-58,-96,1154.668436,Harrison
-6,-19,0,0,828,348,-48,12,0,0,0,0,0,0,0,0,0,0,0,0,967.5602416,Harrison
49,116,0,-5,-254,12,-133,61,-17,16,0,0,0,0,0,0,0,0,0,0,554.8746859,Harrison
0,-2,0,0,0,0,0,0,166,10,28,12,-46,-15,-106,-5,0,0,0,0,353.2657651,Harrison
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrison
0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1553,-147,-834,-6,-97,154,2576.965995,Harrison
-16,-16,0,2,1,-1,1184,-155,138,1,0,0,0,0,0,0,0,0,-106,-107,1508.76325,Harrison
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrison
0,0,-25,-81,-120,-188,-5,-10,0,0,-9,-6,-323,-83,-142,-9,-61,114,-415,180,1387.228642,Harrison
6,83,1,119,-54,37,-187,-134,-6,-22,-79,-169,-52,-81,55,-2,645,40,483,5,1987.64771,Harrison
0,0,0,0,0,0,318,33,464,20,232,18,225,-14,342,-70,83,11,-381,-177,2095.193995,Harrison
